               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.027905,           0.0079102,                   0,             0.94143,              0.9401,             0.96947,             0.55018,            0.024444,            0.006006,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.028032,           0.0077391,                   0,             0.94936,             0.94191,             0.97194,             0.55166,            0.024032,            0.005972,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.027548,           0.0077251,                   0,             0.94912,              0.9407,              0.9718,             0.55526,            0.024026,           0.0059675,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.027827,           0.0081644,                   0,             0.94984,             0.94151,             0.97272,             0.56078,            0.023656,           0.0059122,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.027643,           0.0075887,                   0,             0.94922,             0.94272,             0.97195,             0.55348,            0.024005,           0.0059412,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.027899,           0.0076249,                   0,             0.95054,             0.94575,             0.97475,             0.56263,            0.023636,           0.0058914,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.027406,           0.0077928,                   0,             0.95142,             0.94353,              0.9749,             0.55439,            0.024091,            0.005941,                   0,            0.002014,            0.002014,            0.002014
                 123,             0.02723,           0.0076351,                   0,             0.94875,             0.94843,               0.975,             0.55809,            0.023719,             0.00593,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.026744,           0.0075614,                   0,             0.95008,             0.94433,             0.97544,             0.56511,            0.023117,           0.0058988,                   0,            0.001882,            0.001882,            0.001882
                 125,             0.02742,            0.007704,                   0,             0.95347,             0.94272,             0.97395,             0.56081,            0.023606,            0.005873,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.027294,           0.0076616,                   0,             0.95726,             0.93465,             0.97168,             0.55394,            0.024167,           0.0059013,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.026741,           0.0077015,                   0,             0.95332,             0.94232,             0.97531,             0.56539,            0.023536,            0.005879,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.027152,           0.0074846,                   0,             0.94962,              0.9504,              0.9764,             0.57252,            0.023066,            0.005821,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.026868,           0.0076974,                   0,             0.94757,             0.94783,             0.97479,             0.57504,            0.023019,           0.0058106,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.025814,           0.0074047,                   0,             0.94753,             0.95119,             0.97664,             0.57278,            0.023201,           0.0058017,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.026547,           0.0075627,                   0,             0.94861,             0.94917,             0.97594,              0.5732,            0.023173,           0.0058187,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.026327,           0.0075173,                   0,             0.94583,             0.95081,             0.97484,             0.57435,            0.023165,           0.0058247,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.026633,           0.0074461,                   0,             0.94582,             0.94958,             0.97543,               0.573,            0.023084,           0.0058336,                   0,            0.001288,            0.001288,            0.001288
                 134,             0.02667,            0.007346,                   0,             0.95095,             0.94639,             0.97595,             0.57568,            0.022921,             0.00581,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.026178,             0.00727,                   0,             0.94908,             0.94716,             0.97412,             0.56884,            0.023236,            0.005846,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.026075,           0.0074751,                   0,             0.95002,             0.95086,             0.97703,             0.57575,             0.02301,           0.0058087,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.026117,           0.0075621,                   0,             0.95017,             0.94917,             0.97645,             0.57467,            0.023038,           0.0057933,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.025845,           0.0073751,                   0,             0.95552,             0.94353,             0.97659,              0.5736,            0.023128,           0.0058124,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.026124,           0.0072197,                   0,             0.95621,             0.94595,             0.97759,             0.57089,            0.023291,            0.005818,                   0,            0.000892,            0.000892,            0.000892
